file,src_frame,time_sec,blur,width,height
000001.jpg,3,0.100,36.8,1280,720
000002.jpg,6,0.200,36.5,1280,720
000003.jpg,9,0.300,39.1,1280,720
000004.jpg,18,0.600,60.4,1280,720
000005.jpg,21,0.700,62.2,1280,720
000006.jpg,24,0.800,39.4,1280,720
000007.jpg,30,1.000,57.0,1280,720
000008.jpg,39,1.300,37.8,1280,720
000009.jpg,42,1.400,52.7,1280,720
000010.jpg,45,1.500,56.0,1280,720
000011.jpg,48,1.600,63.6,1280,720
000012.jpg,51,1.700,68.0,1280,720
000013.jpg,54,1.800,70.9,1280,720
000014.jpg,57,1.900,63.7,1280,720
000015.jpg,60,2.000,73.5,1280,720
000016.jpg,63,2.100,67.7,1280,720
000017.jpg,66,2.200,49.1,1280,720
000018.jpg,69,2.300,52.3,1280,720
000019.jpg,72,2.400,51.4,1280,720
000020.jpg,75,2.500,58.9,1280,720
000021.jpg,78,2.600,53.3,1280,720
000022.jpg,81,2.700,54.8,1280,720
000023.jpg,84,2.800,64.2,1280,720
000024.jpg,87,2.900,61.0,1280,720
000025.jpg,90,3.000,77.9,1280,720
000026.jpg,93,3.100,66.4,1280,720
000027.jpg,96,3.200,73.9,1280,720
000028.jpg,99,3.300,74.3,1280,720
000029.jpg,102,3.400,84.2,1280,720
000030.jpg,105,3.500,68.8,1280,720
000031.jpg,108,3.600,68.9,1280,720
000032.jpg,111,3.700,66.4,1280,720
000033.jpg,114,3.800,64.6,1280,720
000034.jpg,117,3.900,68.7,1280,720
000035.jpg,120,4.000,73.0,1280,720
000036.jpg,123,4.100,68.5,1280,720
000037.jpg,126,4.200,61.6,1280,720
000038.jpg,129,4.300,68.5,1280,720
000039.jpg,132,4.400,64.5,1280,720
000040.jpg,135,4.500,77.2,1280,720
000041.jpg,138,4.600,73.0,1280,720
000042.jpg,141,4.700,76.8,1280,720
000043.jpg,144,4.800,72.3,1280,720
000044.jpg,147,4.900,72.3,1280,720
000045.jpg,150,5.000,80.9,1280,720
000046.jpg,153,5.100,72.0,1280,720
000047.jpg,156,5.200,75.2,1280,720
000048.jpg,159,5.300,59.3,1280,720
000049.jpg,162,5.400,43.6,1280,720
000050.jpg,165,5.500,39.8,1280,720
000051.jpg,168,5.600,37.3,1280,720
000052.jpg,171,5.700,43.2,1280,720
000053.jpg,174,5.800,42.7,1280,720
000054.jpg,177,5.900,55.0,1280,720
000055.jpg,180,6.000,74.4,1280,720
000056.jpg,183,6.100,59.1,1280,720
000057.jpg,186,6.200,60.4,1280,720
000058.jpg,189,6.300,58.6,1280,720
000059.jpg,192,6.400,37.6,1280,720
000060.jpg,195,6.500,44.2,1280,720
000061.jpg,198,6.600,47.0,1280,720
000062.jpg,201,6.700,50.2,1280,720
000063.jpg,204,6.800,53.8,1280,720
000064.jpg,207,6.900,56.1,1280,720
000065.jpg,210,7.000,73.8,1280,720
000066.jpg,213,7.100,55.7,1280,720
000067.jpg,216,7.200,53.2,1280,720
000068.jpg,219,7.300,51.5,1280,720
000069.jpg,222,7.400,55.0,1280,720
000070.jpg,225,7.500,58.5,1280,720
000071.jpg,228,7.600,56.4,1280,720
000072.jpg,231,7.700,53.4,1280,720
000073.jpg,234,7.800,50.7,1280,720
000074.jpg,237,7.900,55.4,1280,720
000075.jpg,240,8.000,70.2,1280,720
000076.jpg,243,8.100,49.5,1280,720
000077.jpg,246,8.200,52.4,1280,720
000078.jpg,249,8.300,57.1,1280,720
000079.jpg,252,8.400,59.6,1280,720
000080.jpg,255,8.500,56.2,1280,720
000081.jpg,258,8.600,49.8,1280,720
000082.jpg,261,8.700,46.1,1280,720
000083.jpg,264,8.800,54.6,1280,720
000084.jpg,267,8.900,51.6,1280,720
000085.jpg,270,9.000,73.8,1280,720
000086.jpg,273,9.100,66.3,1280,720
000087.jpg,276,9.200,73.4,1280,720
000088.jpg,279,9.300,62.9,1280,720
000089.jpg,282,9.400,64.7,1280,720
000090.jpg,285,9.500,65.1,1280,720
000091.jpg,288,9.600,64.4,1280,720
000092.jpg,291,9.700,61.9,1280,720
000093.jpg,294,9.800,54.5,1280,720
000094.jpg,297,9.900,63.3,1280,720
000095.jpg,300,10.000,72.1,1280,720
000096.jpg,303,10.100,63.9,1280,720
000097.jpg,306,10.200,65.0,1280,720
000098.jpg,309,10.300,58.4,1280,720
000099.jpg,312,10.400,68.2,1280,720
000100.jpg,315,10.500,63.2,1280,720
000101.jpg,318,10.600,62.1,1280,720
000102.jpg,321,10.700,61.5,1280,720
000103.jpg,324,10.800,64.4,1280,720
000104.jpg,327,10.900,68.4,1280,720
000105.jpg,330,11.000,79.4,1280,720
000106.jpg,333,11.100,66.2,1280,720
000107.jpg,336,11.200,58.6,1280,720
000108.jpg,339,11.300,65.4,1280,720
000109.jpg,342,11.400,60.7,1280,720
000110.jpg,345,11.500,60.7,1280,720
000111.jpg,348,11.600,54.4,1280,720
000112.jpg,351,11.700,48.4,1280,720
000113.jpg,354,11.800,38.9,1280,720
000114.jpg,357,11.900,50.1,1280,720
000115.jpg,360,12.000,73.9,1280,720
000116.jpg,363,12.100,66.8,1280,720
000117.jpg,366,12.200,61.6,1280,720
000118.jpg,369,12.300,64.4,1280,720
000119.jpg,372,12.400,58.8,1280,720
000120.jpg,375,12.500,55.0,1280,720
000121.jpg,378,12.600,64.8,1280,720
000122.jpg,381,12.700,61.0,1280,720
000123.jpg,384,12.800,62.1,1280,720
000124.jpg,387,12.900,65.0,1280,720
000125.jpg,390,13.000,72.4,1280,720
000126.jpg,393,13.100,60.9,1280,720
000127.jpg,396,13.200,60.2,1280,720
000128.jpg,399,13.300,59.8,1280,720
000129.jpg,402,13.400,59.9,1280,720
000130.jpg,405,13.500,57.7,1280,720
000131.jpg,408,13.600,62.1,1280,720
000132.jpg,411,13.700,67.0,1280,720
000133.jpg,414,13.800,44.0,1280,720
000134.jpg,417,13.900,40.6,1280,720
000135.jpg,420,14.000,70.0,1280,720
000136.jpg,423,14.100,62.0,1280,720
000137.jpg,426,14.200,66.3,1280,720
000138.jpg,429,14.300,57.9,1280,720
000139.jpg,432,14.400,60.8,1280,720
000140.jpg,435,14.500,66.7,1280,720
000141.jpg,438,14.600,72.6,1280,720
000142.jpg,441,14.700,68.3,1280,720
000143.jpg,444,14.800,68.3,1280,720
000144.jpg,447,14.900,64.9,1280,720
000145.jpg,462,15.400,36.1,1280,720
000146.jpg,471,15.700,37.2,1280,720
000147.jpg,474,15.800,45.9,1280,720
000148.jpg,477,15.900,46.6,1280,720
000149.jpg,480,16.000,51.7,1280,720
000150.jpg,486,16.200,53.4,1280,720
000151.jpg,489,16.300,50.5,1280,720
000152.jpg,492,16.400,56.9,1280,720
000153.jpg,495,16.500,60.3,1280,720
000154.jpg,498,16.600,68.7,1280,720
000155.jpg,501,16.700,62.1,1280,720
000156.jpg,504,16.800,65.8,1280,720
000157.jpg,507,16.900,59.8,1280,720
000158.jpg,510,17.000,69.6,1280,720
