image,status,has_pipe,ball_count,best_score,cx,cy,radius,bbox_x1,bbox_y1,bbox_w,bbox_h
000001.jpg,labeled,1,1,0.943,807.0,332.4,19.7,791.0,313.0,33.0,40.0
000002.jpg,labeled,1,1,0.940,802.3,344.3,20.1,787.0,325.0,33.0,40.0
000003.jpg,labeled,1,1,0.945,802.4,345.8,20.2,787.0,326.0,34.0,41.0
000004.jpg,labeled,1,1,0.939,809.0,333.0,20.6,793.0,313.0,34.0,41.0
000005.jpg,labeled,1,1,0.839,806.3,336.5,20.5,790.0,316.0,34.0,42.0
000006.jpg,labeled,1,1,0.937,811.0,349.9,21.3,795.0,329.0,33.0,43.0
000007.jpg,labeled,1,1,0.784,814.4,312.1,19.4,797.0,294.0,37.0,36.0
000008.jpg,labeled,1,1,0.856,818.2,328.5,19.7,803.0,312.0,33.0,36.0
000009.jpg,labeled,1,1,0.856,818.5,333.5,20.6,801.0,314.0,36.0,40.0
000010.jpg,labeled,1,1,0.850,821.5,323.0,19.2,804.0,304.0,36.0,39.0
000011.jpg,labeled,1,1,0.953,827.9,328.5,19.9,811.0,311.0,35.0,38.0
000012.jpg,labeled,1,1,0.852,835.1,327.1,19.8,819.0,310.0,35.0,37.0
000013.jpg,labeled,1,1,0.845,846.1,326.2,19.9,830.0,307.0,35.0,40.0
000014.jpg,labeled,1,1,0.916,856.9,325.5,20.7,840.0,306.0,36.0,40.0
000015.jpg,labeled,1,1,0.910,870.0,323.4,20.3,853.0,305.0,36.0,38.0
000016.jpg,labeled,1,1,0.908,881.1,323.6,20.4,864.0,305.0,37.0,40.0
000017.jpg,labeled,1,1,0.943,892.9,336.6,20.5,876.0,317.0,36.0,41.0
000018.jpg,labeled,1,2,0.929,905.0,333.3,20.8,888.0,314.0,36.0,41.0
000019.jpg,labeled,1,2,0.925,916.4,334.2,21.1,900.0,315.0,36.0,41.0
000020.jpg,labeled,1,2,0.840,926.4,342.0,21.0,910.0,323.0,36.0,41.0
000021.jpg,labeled,1,1,0.836,931.1,341.4,21.0,915.0,322.0,36.0,41.0
000022.jpg,labeled,1,2,0.919,936.5,335.6,20.5,920.0,316.0,36.0,40.0
000023.jpg,labeled,1,1,0.831,941.0,339.5,20.7,925.0,320.0,35.0,41.0
