epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3169,2.70971,11.0109,0.00499,0.00319,0.95652,0.00356,0.00214,1.35962,8.81433,0.00269,0.000592593,0.000592593,0.000592593
2,83.3205,1.40043,7.42494,0.00188,0.00333,1,0.00393,0.00181,1.26634,9.0107,0.00276,0.00124679,0.00124679,0.00124679
3,93.8273,1.63696,6.67585,0.00211,0.00246,0.73913,0.00188,0.0004,1.11447,8.60269,0.00233,0.00188779,0.00188779,0.00188779
4,103.142,1.49743,5.82815,0.00195,0.00029,0.08696,3e-05,2e-05,1.19102,8.4863,0.00214,0.0019406,0.0019406,0.0019406
5,111.873,1.57011,5.55699,0.00232,0.00188,0.56522,0.00108,0.00075,0.88382,7.95286,0.0019,0.0019208,0.0019208,0.0019208
6,122.152,1.29532,4.60847,0.00176,0.00333,1,0.00382,0.00308,0.78499,7.20703,0.00156,0.001901,0.001901,0.001901
7,132.976,1.10556,3.97691,0.00143,0.00333,1,0.32217,0.25283,0.98663,6.91284,0.00195,0.0018812,0.0018812,0.0018812
8,143.365,1.02847,4.01996,0.00133,0.00333,1,0.94389,0.78447,0.78065,5.94263,0.00156,0.0018614,0.0018614,0.0018614
9,154.45,1.07276,3.61251,0.00134,1,0.4077,0.98733,0.82805,0.73603,5.39917,0.00148,0.0018416,0.0018416,0.0018416
10,164.808,1.06355,3.17211,0.00141,1,0.8772,0.99333,0.82859,0.7224,4.28858,0.00148,0.0018218,0.0018218,0.0018218
11,175.204,0.9652,3.18598,0.00125,1,0.92351,0.99333,0.81172,0.77689,3.75177,0.00161,0.001802,0.001802,0.001802
12,185.391,1.05324,2.93184,0.00138,0.97829,0.91304,0.99006,0.81204,0.72181,3.3484,0.00139,0.0017822,0.0017822,0.0017822
13,195.625,1.00783,2.61031,0.0013,0.93099,0.95652,0.98786,0.83491,0.70948,2.9893,0.00137,0.0017624,0.0017624,0.0017624
14,206.549,0.98876,2.35162,0.00119,0.9567,0.96085,0.99333,0.83687,0.74869,2.62263,0.00155,0.0017426,0.0017426,0.0017426
15,214.789,0.98595,2.15504,0.00121,1,0.91048,0.98907,0.86766,0.55933,2.3282,0.00112,0.0017228,0.0017228,0.0017228
16,216.935,0.86912,2.20452,0.00107,0.95825,0.9979,0.99167,0.85155,0.68811,2.08904,0.00142,0.001703,0.001703,0.001703
17,218.892,0.8753,2.098,0.00111,1,0.99508,0.995,0.82971,0.79934,1.95465,0.00158,0.0016832,0.0016832,0.0016832
18,220.909,1.05641,1.96462,0.00136,0.95756,0.98136,0.99333,0.85272,0.65434,1.6726,0.00134,0.0016634,0.0016634,0.0016634
19,222.833,0.89407,1.6873,0.00107,0.95801,0.99224,0.99333,0.82645,0.71736,1.63432,0.00145,0.0016436,0.0016436,0.0016436
20,224.756,0.77848,1.58214,0.00097,0.9177,0.97002,0.99006,0.85065,0.61433,1.49452,0.00123,0.0016238,0.0016238,0.0016238
21,226.752,0.80507,1.50679,0.00098,1,0.95237,0.9918,0.84965,0.73024,1.42608,0.00154,0.001604,0.001604,0.001604
22,228.791,0.82653,1.50769,0.00101,1,0.98741,0.995,0.89471,0.54552,1.26998,0.00107,0.0015842,0.0015842,0.0015842
23,231.004,0.86405,1.49791,0.0011,1,0.9985,0.995,0.81006,0.79672,1.21404,0.00143,0.0015644,0.0015644,0.0015644
24,233.239,0.83309,1.45078,0.00109,1,0.99824,0.995,0.87723,0.58512,1.07493,0.0012,0.0015446,0.0015446,0.0015446
25,235.5,0.76296,1.34942,0.00096,0.99846,1,0.995,0.87213,0.6076,1.03811,0.00125,0.0015248,0.0015248,0.0015248
26,238.041,0.73165,1.20343,0.00093,0.9926,1,0.995,0.87387,0.62399,0.98508,0.00124,0.001505,0.001505,0.001505
27,240.127,0.75089,1.12824,0.00093,0.99923,1,0.995,0.88546,0.51974,0.94838,0.00106,0.0014852,0.0014852,0.0014852
28,242.416,0.73275,1.16321,0.00093,0.99609,1,0.995,0.89368,0.55114,0.8841,0.00117,0.0014654,0.0014654,0.0014654
29,244.473,0.72244,1.0806,0.00091,0.99566,1,0.995,0.89089,0.54432,0.85781,0.00106,0.0014456,0.0014456,0.0014456
30,246.632,0.77413,1.01605,0.00098,1,0.99614,0.995,0.8953,0.56162,0.82106,0.00116,0.0014258,0.0014258,0.0014258
31,248.692,0.75336,0.85039,0.00089,0.99843,1,0.995,0.90265,0.49034,0.7491,0.00099,0.001406,0.001406,0.001406
32,250.707,0.66233,0.81963,0.00081,0.94625,1,0.99333,0.89849,0.5016,0.76508,0.00102,0.0013862,0.0013862,0.0013862
33,252.889,0.69698,0.80137,0.00084,1,0.9817,0.995,0.86795,0.60858,0.76391,0.00117,0.0013664,0.0013664,0.0013664
34,254.897,0.75853,0.81438,0.00091,0.95737,0.97681,0.99167,0.91063,0.46988,0.70241,0.00098,0.0013466,0.0013466,0.0013466
35,257.039,0.7229,0.78684,0.00084,0.98697,1,0.995,0.8755,0.58986,0.69065,0.00114,0.0013268,0.0013268,0.0013268
36,259.051,0.68471,0.72405,0.00083,0.99554,1,0.995,0.86986,0.55136,0.64706,0.00119,0.001307,0.001307,0.001307
37,261.203,0.666,0.73086,0.00085,0.99404,1,0.995,0.88135,0.55467,0.62268,0.00111,0.0012872,0.0012872,0.0012872
38,263.297,0.6526,0.71829,0.00085,1,0.9179,0.995,0.90665,0.44836,0.72494,0.00092,0.0012674,0.0012674,0.0012674
39,266.73,0.70054,0.70025,0.00091,0.95456,0.91304,0.99167,0.8643,0.61042,0.68727,0.00122,0.0012476,0.0012476,0.0012476
40,269.23,0.79757,0.67212,0.00095,0.91761,0.96887,0.9918,0.83832,0.66916,0.68289,0.00132,0.0012278,0.0012278,0.0012278
